City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
94,Grand-Santi,GF,89.76,broken clouds,4.25,-54.3833,Hotel La Villa Couacou
96,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
97,Kapaa,US,75.47,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
99,Hambantota,LK,80.62,overcast clouds,6.1241,81.1185,Bungalow 63
109,Caledonia,US,93.42,clear sky,42.8078,-87.9242,"Jellystone Park™ Camp-Resort in Caledonia, WI"
112,Loandjili,CG,75.51,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
117,Avarua,CK,75.25,scattered clouds,-21.2078,-159.775,Paradise Inn
118,Tamandare,BR,80.64,scattered clouds,-8.7597,-35.1047,Pousada 100 Passos
122,Lhokseumawe,ID,77.0,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
129,Redencao,BR,82.54,clear sky,-4.2258,-38.7306,Hotel Fazenda Boa Vista
132,Coahuayana,MX,85.73,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
133,Thompson,CA,78.96,broken clouds,55.7435,-97.8558,Burntwood Hotel
135,Abu Samrah,SY,75.96,clear sky,35.3029,37.1841,
136,Trinidad,BO,78.78,clear sky,-14.8333,-64.9,Hotel Piesta
140,Atuona,PF,77.27,scattered clouds,-9.8,-139.0333,Villa Enata
142,Bhawanipatna,IN,84.52,overcast clouds,19.9,83.1667,Bhagirathi inn
144,Road Town,VG,86.09,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
148,Lasa,IT,79.68,clear sky,46.6166,10.7002,Pension Feldgärtenhof
157,Rock Sound,BS,81.09,scattered clouds,24.9,-76.2,Pink Corral Bay Property
160,Hargeysa,SO,79.0,scattered clouds,9.56,44.065,City Center Hotel
165,Varkkallai,IN,82.18,moderate rain,8.7341,76.7067,Hindustan Beach Retreat
169,Huntsville,US,94.39,few clouds,34.7304,-86.5861,Embassy Suites by Hilton Huntsville Hotel & Spa
172,Laguna,US,78.15,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
175,Gat,IL,77.81,clear sky,31.61,34.7642,OlusHome
176,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Pirineos
181,Clinton,US,80.44,broken clouds,42.587,-82.9199,River's Edge
184,Harper,LR,81.25,broken clouds,4.375,-7.7169,Screensaver
185,Agua Verde,MX,87.89,clear sky,22.9,-106.05,
187,Sabana De Torres,CO,86.61,overcast clouds,7.3915,-73.4957,Hotel el Milagro
188,Coro,VE,88.09,overcast clouds,11.4045,-69.6734,Federal
191,Ray,IN,84.97,moderate rain,23.6833,85.05,Bablu Cake Corner
192,Touros,BR,83.41,clear sky,-5.1989,-35.4608,INN NEW HORIZON
194,Akwatia,GH,80.2,light rain,6.0402,-0.8088,Baffour Guest House
196,Faanui,PF,79.72,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
